Number,Registration,Details,Product,Odometer,Distance,Unit,MPG
884609,YJ58DGZ,Volvo FM12 Hookloader,Diesel,281395,0,Kilometres,0
96,YG63ETT,Peugeot 208 Car,Diesel,0,0,Miles,0
96/113,96/113,MPM 10 Genset,Gasoil,0,0,No Limit,0
97,YB63USD,Peugeot 308 Estate Car,Diesel,0,0,Miles,0
,,,,,,,
Vehicle Count,Distance,Count,Litres,Average km/l,Average Lph,,
,,,,,,,
1482,5403087,50412,2726327.2,5.25,0.13,,
,,,,,,,
Date Range,,,,,,,
01/04/2019 00:00:00 - 31/03/2020 23:59:00,,,,,,,
